代码	名称	涨幅%	涨速%	市盈(TTM)	AB股总市值	现价	市盈(动)	涨跌	买价	卖价	总量	现量	换手%	今开	最高	最低	昨收	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	开盘换手Z	封成比	封单额	流通股(亿)	流通市值	强弱度%	活跃度	笔均量	笔换手	连涨天	昨涨幅%	3日涨幅%	20日涨幅%	60日涨幅%	年初至今%	年涨停天	换手Z	流通市值Z	流通比例Z	市盈(静)	贝塔系数	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	实体涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收帐款(亿)	预收账款(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	调整后净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
603896	寿仙谷	0.02	-0.01	41.08	         65.79亿	43.39	    39.89	0.01	43.38	43.39	16061	115	          1.06	43.00	44.44	42.85	43.38	6997.20	  0.83	中成药	浙江	3.67	43.57	8299	7762	  1.07	16	10	--  	24.08	          0.01	--  	--  	          1.52	         65.79亿	  0.44	   1836	      9	        0.0006	2	3.29	2.90	5.37	17.72	24.62	1	          1.91	         36.40亿	         55.33	43.36	0.07	多头排列	6	6	12	-0.88	2.44	-1.22	0.43	0.91	-2.36	1.26	20210716	20170510	          1.52	--  	--  	18.08	14.15	--  	21.72	9.77	1.98	0.78	1.97	6.82	1.25	0.67	--  	8.13	1.74	0.28	0.41	0.00	0.41	0.41	0.36	5.10	0.68	0.13	8372.00	         10021	43.48万	25.67	31.12	          4.70	96.94	37.78	0.70	0.280㈠	          9.23	9.23	          5.36	          3.37	          0.45	         78.28	   2.91㈠	         83.85	         23.75	         23.68	0.09	1017	603896	--  	--  	--  	
605277	新亚电子	0.00	0.18	21.98	         30.29亿	22.20	    20.73	0.00	22.16	22.20	27343	208	          8.20	22.00	22.45	21.80	22.20	6036.37	  0.83	电气设备	浙江	2.93	22.08	15148	12195	  1.24	13	266	--  	39.16	          0.05	--  	--  	          0.33	          7.41亿	  0.42	   1963	     14	        0.0042	0	5.46	3.07	9.09	6.83	33.33	1	          8.20	          7.41亿	         24.45	25.43	0.31	-- -- 	6	5		-0.90	1.13	-1.80	-0.56	0.91	-1.11	1.83	20210716	20210106	          1.36	--  	--  	12.16	10.53	--  	13.40	10.24	0.57	0.55	1.61	1.36	1.50	3.48	--  	6.40	3.31	2.63	0.48	0.00	0.48	0.37	0.31	2.53	-0.79	-4.54	20270.00	          1646	3.65万	0.00	0.00	          2.81	-38.55	9.15	1.32	0.270㈠	          7.89	7.89	          4.69	          1.85	         -0.58	         86.60	   3.47㈠	         20.50	         14.47	         11.03	0.09	685	605277	--  	--  	--  	
605188	国光连锁	0.00	-0.12	46.37	         38.21亿	7.71	    32.01	0.00	7.71	7.72	8814	65	          1.46	7.70	7.76	7.65	7.71	679.49	  0.61	超市连锁	江西	1.43	7.71	4536	4278	  1.06	335	46	--  	0.46	          0.00	--  	--  	          0.60	          4.66亿	  0.42	    682	     13	        0.0021	0	1.31	-3.51	-11.28	-16.87	-22.08	7	          1.46	          4.66亿	         12.18	36.05	0.62	KDJ金叉	7	1	13	-0.13	0.65	-0.78	-0.01	0.13	-0.64	0.78	20210727	20200728	          4.96	--  	--  	25.67	11.37	--  	55.70	11.33	7.55	1.12	9.08	4.65	2.35	0.68	0.14	3.26	5.98	4.35	0.39	0.01	0.40	0.30	0.21	2.97	1.03	0.88	12193.00	          4952	3.82万	-44.16	-10.05	          3.36	36.95	6.39	0.97	0.060㈠	          2.29	0.00	          0.66	          0.60	          0.21	         44.30	   2.62㈠	         27.24	          6.57	          4.99	--  	4353	605188	--  	--  	--  	
603980	吉华集团	0.00	0.00	15.01	         46.41亿	6.63	    10.19	0.00	6.63	6.64	18846	279	          0.27	6.63	6.66	6.58	6.63	1247.22	  0.52	染料涂料	浙江	1.21	6.62	9339	9507	  0.98	10	716	--  	0.00	          0.00	--  	--  	          7.00	         46.41亿	  0.42	   1455	     13	        0.0002	0	1.07	-0.89	2.95	3.03	5.15	1	          0.37	         33.42亿	         72.00	20.13	0.40	-- -- 	14	8	11	0.00	0.45	-0.75	-0.18	0.00	-0.45	0.76	20210716	20170615	          7.00	--  	--  	54.10	45.80	          0.36	14.66	35.85	12.74	1.22	6.78	7.68	6.15	4.60	--  	11.43	6.72	5.16	1.47	0.30	1.47	1.14	0.32	24.71	-0.53	0.88	26466.00	         19043	12.63万	222.31	59.22	          1.01	-88.19	6.91	2.49	0.160㈠	          6.54	0.00	          1.63	          3.53	         -0.08	         84.66	   2.49㈠	         23.15	         21.87	         16.95	0.19	1705	603980	--  	--  	--  	
603819	神力股份	0.00	0.37	217.79	         17.92亿	8.23	--  	0.00	8.21	8.23	6692	100	          0.31	8.23	8.32	8.02	8.23	550.11	  0.73	电气设备	江苏	3.65	8.22	2374	4318	  0.55	36	45	--  	0.08	          0.00	--  	--  	          2.17	         17.89亿	  0.42	    512	     13	        0.0006	0	-1.56	-0.12	-8.25	-15.06	-27.93	4	          0.75	          7.31亿	         40.77	118.85	0.25	-- -- 	9	9	13	0.00	1.09	-2.55	-0.12	0.00	-1.08	2.62	20210716	20161125	          2.18	--  	--  	16.30	7.63	          0.80	48.35	9.76	3.01	1.63	7.68	1.83	2.44	3.88	--  	3.22	2.90	2.58	-0.04	0.00	-0.04	-0.02	-0.03	1.77	-1.07	-1.97	8245.00	         10767	8.86万	-149.30	29.05	          2.35	-16.68	6.17	0.26	-0.010㈠	          3.50	0.00	          1.48	          0.81	         -0.49	         46.77	  -0.30㈠	         11.16	         -1.23	         -0.78	0.02	644	603819	--  	--  	--  	
603800	道森股份	0.00	-0.40	--  	         25.44亿	12.23	--  	0.00	12.23	12.24	48602	1369	          2.34	11.90	12.84	11.83	12.23	6024.65	  1.08	专用机械	江苏	8.26	12.40	28617	19985	  1.43	71	1	--  	74.97	          0.09	--  	--  	          2.08	         25.44亿	  0.42	   1894	     26	        0.0012	0	7.56	2.69	34.10	44.34	24.25	2	          6.92	          8.59亿	         33.77	586.02	0.00	多头排列	8	8	9	-2.70	4.99	-3.27	1.36	2.77	-4.75	3.38	20210716	20151210	          2.08	--  	--  	16.93	8.80	--  	48.01	12.80	2.45	0.48	7.57	3.34	4.14	2.90	--  	4.98	1.73	1.53	-0.25	0.01	-0.25	-0.28	-0.29	1.39	-0.84	0.71	14820.00	          4740	5.80万	-2513.01	90.31	          2.89	-30.26	14.68	0.06	-0.133㈠	          4.23	0.00	          2.39	          0.67	         -0.40	         51.99	  -3.13㈠	         11.80	        -14.62	        -15.93	0.11	1012	603800	--  	--  	--  	
603768	常青股份	0.00	-0.05	28.18	         31.44亿	15.41	    22.73	0.00	15.41	15.42	3001	57	          0.15	15.45	15.56	15.24	15.41	462.69	  0.96	汽车配件	安徽	2.08	15.42	1225	1776	  0.69	473	4	--  	6.18	          0.01	--  	--  	          2.04	         31.44亿	  0.42	    327	      9	        0.0004	0	4.97	4.19	1.38	-0.76	-2.33	1	          0.53	          8.76亿	         27.86	41.82	0.77	-- -- 	14	11	9	0.26	0.97	-1.10	0.05	-0.26	-0.96	1.12	20210716	20170324	          2.04	--  	--  	38.21	17.99	--  	52.92	18.10	12.71	3.02	17.38	3.21	5.16	5.66	0.05	7.97	7.80	6.40	0.43	0.00	0.43	0.35	0.31	7.23	-1.26	-1.89	8987.00	          6323	9.74万	2017.61	82.82	          1.75	-24.92	4.03	0.73	0.170㈠	          8.82	0.00	          3.91	          3.54	         -0.62	         47.08	   1.92㈠	         17.85	          5.50	          4.43	0.21	3021	603768	--  	--  	--  	
603668	天马科技	0.00	0.29	33.47	         23.75亿	6.99	    32.22	0.00	6.98	6.99	16399	299	          0.48	7.01	7.02	6.90	6.99	1142.66	  0.46	饲料	福建	1.72	6.97	9533	6866	  1.39	64	785	--  	8.68	          0.01	--  	--  	          3.39	         23.66亿	  0.42	    686	     24	        0.0007	0	1.01	-0.99	-3.85	-2.92	-10.61	2	          0.72	         15.97亿	         67.25	34.45	0.25	-- -- 	4	1	11	0.29	0.43	-1.29	-0.31	-0.29	-0.43	1.30	20210716	20170117	          3.40	--  	--  	38.49	12.39	          3.60	58.44	20.92	7.78	1.76	21.44	3.54	7.85	6.96	0.00	4.33	9.49	8.30	0.44	-0.04	0.44	0.18	0.17	4.38	1.08	-1.69	23484.00	          9730	6.80万	12.20	15.35	          1.92	22.06	2.50	0.00	0.050㈠	          3.65	0.00	          1.27	          1.29	          0.32	         32.20	   1.49㈠	         12.56	          4.69	          1.94	0.16	1321	603668	--  	--  	--  	
603266	天龙股份	0.00	0.00	20.65	         22.02亿	11.07	    18.90	0.00	11.07	11.08	21990	324	          1.11	11.07	11.20	10.95	11.07	2434.72	  0.73	塑料	浙江	2.26	11.07	8031	13959	  0.58	9	60	--  	0.22	          0.00	--  	--  	          1.98	         21.89亿	  0.42	   1272	     17	        0.0009	0	1.75	0.09	-6.97	0.64	-0.09	1	          3.36	          7.25亿	         32.95	23.74	0.31	EXPMA死叉	4	6	14	0.00	1.17	-1.08	0.02	0.00	-1.16	1.10	20210723	20170110	          1.99	--  	--  	14.47	10.56	--  	27.01	9.84	2.13	0.06	3.29	1.78	2.22	3.85	0.00	2.59	2.76	2.06	0.35	0.02	0.34	0.29	0.26	5.26	0.56	0.22	12272.00	          5340	5.91万	90.99	76.86	          2.09	39.03	7.98	0.90	0.150㈠	          5.31	0.00	          1.30	          2.65	          0.28	         72.99	   2.76㈠	         25.45	         12.50	         10.55	0.10	1409	603266	--  	--  	--  	
603177	德创环保	0.00	0.41	--  	         24.56亿	12.16	--  	0.00	12.14	12.16	6288	172	          0.31	12.24	12.25	12.03	12.16	764.37	  0.69	环境保护	浙江	1.81	12.16	2306	3982	  0.58	3	15	--  	2.57	          0.00	--  	--  	          2.02	         24.56亿	  0.42	    523	     12	        0.0006	0	-0.49	-0.33	-13.76	-8.02	35.87	3	          0.82	          9.34亿	         38.04	--  	0.94	空头排列	1	10	10	0.66	0.74	-1.07	-0.03	-0.65	-0.73	1.08	20210716	20170207	          2.02	--  	--  	12.18	3.98	          0.01	67.21	8.42	1.63	0.89	7.92	0.67	1.82	3.08	--  	1.16	0.96	0.78	-0.15	0.02	-0.15	-0.14	-0.16	0.39	0.11	-0.27	12296.00	          6249	7.60万	24.68	111.13	          6.17	217.33	25.51	0.00	-0.070㈠	          1.97	0.00	          0.57	          0.19	          0.06	         32.67	  -3.52㈠	         18.64	        -15.21	        -14.54	0.09	719	603177	--  	--  	--  	
