代码	名称	涨幅%	涨速%	市盈(TTM)	AB股总市值	现价	市盈(动)	涨跌	买价	卖价	总量	现量	换手%	今开	最高	最低	昨收	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	开盘换手Z	封成比	封单额	流通股(亿)	流通市值	强弱度%	活跃度	笔均量	笔换手	连涨天	昨涨幅%	3日涨幅%	20日涨幅%	60日涨幅%	年初至今%	年涨停天	换手Z	流通市值Z	流通比例Z	市盈(静)	贝塔系数	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	实体涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收帐款(亿)	预收账款(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	调整后净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
000898	鞍钢股份	9.83	0.20	14.76	        402.08亿	5.03	     7.78	0.45	5.03	5.04	1484980	10134	          1.87	4.58	5.04	4.56	4.58	72493.13	  1.57	普钢	辽宁	10.48	4.88	521421	963559	  0.54	278	68287	--  	188.51	          0.02	--  	--  	         79.41	        399.45亿	 10.12	   4458	    333	        0.0004	2	4.81	10.55	17.25	-1.68	70.16	4	          7.14	        104.63亿	         26.02	23.92	0.73	MACD金叉	2	12	8	0.00	10.04	-0.44	6.59	9.83	-0.20	10.31	20210716	19971225	         94.05	--  	         14.12	893.54	549.26	          5.03	37.97	251.40	495.82	59.42	267.25	37.45	134.70	27.11	--  	334.23	318.78	281.45	20.47	0.75	20.29	15.20	15.30	83.15	19.08	-15.84	90489.00	         22988	11.56万	420.55	56.75	          0.86	24.79	1.48	1.42	0.160㈠	          5.84	5.84	          3.55	          0.88	          0.20	         61.47	   2.77㈠	         11.71	          6.42	          4.77	1.37	31512	000898	--  	--  	--  	
000899	赣能股份	3.79	0.00	15.95	         45.37亿	4.65	    41.91	0.17	4.65	4.66	52028	734	          0.53	4.48	4.68	4.45	4.48	2398.98	  1.52	火力发电	江西	5.13	4.61	19026	33002	  0.58	545	230	--  	5.51	          0.00	--  	--  	          9.76	         45.37亿	  4.08	    985	     53	        0.0005	2	1.13	1.97	-5.68	-9.71	-33.57	11	          2.01	         12.05亿	         26.56	14.36	0.15	KDJ金叉	9	1	4	0.00	4.46	-0.67	2.92	3.79	-0.64	4.49	20210716	19971126	          9.76	--  	--  	79.31	50.29	          0.34	36.17	11.45	27.22	0.41	14.52	2.12	1.18	2.09	--  	24.34	5.91	5.33	0.27	0.28	0.27	0.27	0.26	12.25	0.91	-3.16	49254.00	          5262	2.45万	-53.78	9.26	          0.90	49.86	7.67	2.15	0.028㈠	          5.15	0.00	          2.49	          1.26	          0.09	         63.41	   0.54㈠	          9.83	          4.49	          4.58	0.11	753	000899	--  	--  	--  	
000900	现代投资	-0.75	-0.24	6.79	         59.95亿	3.95	     5.34	-0.03	3.95	3.96	29054	217	          0.19	3.95	3.97	3.94	3.98	1148.65	  0.52	路桥	湖南	0.75	3.95	21046	8008	  2.63	1240	87	--  	19.36	          0.01	--  	--  	         15.17	         59.94亿	 -0.46	    891	     33	        0.0002	-1	0.25	-1.98	-3.66	-4.36	-3.42	0	          0.34	         34.24亿	         57.11	11.42	0.20	-- -- 	9	1	8	-0.75	-0.25	-1.01	-0.67	0.00	-0.50	0.25	20210716	19990128	         15.18	--  	--  	457.22	111.33	          7.91	73.92	83.33	18.24	233.29	168.66	38.81	12.59	3.59	0.14	4.46	43.74	37.81	3.49	1.24	3.48	2.81	2.77	73.45	4.77	-17.51	51352.00	         16879	6.67万	464.57	64.08	          0.56	12.56	1.37	4.05	0.185㈠	          7.01	7.01	          0.29	          4.84	          0.31	         24.35	   2.52㈠	         13.55	          7.97	          6.42	0.02	3885	000900	--  	--  	--  	
000901	航天科技	0.72	0.00	--  	         67.29亿	8.43	    85.58	0.06	8.42	8.43	97647	636	          1.22	8.37	8.46	8.29	8.37	8187.50	  0.60	汽车配件	黑龙江	2.03	8.38	47208	50439	  0.94	714	25	--  	15.15	          0.00	--  	--  	          7.98	         67.29亿	  1.01	   2558	     38	        0.0005	2	1.45	-2.20	2.93	4.85	-16.12	4	          1.87	         43.98亿	         65.36	--  	0.31	EXPMA死叉	14	12	11	0.00	1.08	-0.96	0.18	0.72	-0.35	1.69	20210716	19990401	          7.98	--  	--  	75.81	43.71	          1.61	40.23	44.84	10.37	2.00	18.16	11.25	11.79	12.20	0.05	30.56	14.62	11.92	0.17	0.01	0.18	0.20	0.14	3.02	-0.52	-0.61	93133.00	          5601	4.72万	132.22	23.19	          1.54	-130.13	4.60	0.00	0.025㈠	          5.48	0.00	          3.83	          0.38	         -0.06	         57.65	   0.45㈠	         18.44	          1.16	          1.34	0.67	6326	000901	--  	--  	--  	
000902	新洋丰	7.36	0.43	21.90	        241.60亿	18.52	    17.73	1.27	18.51	18.52	429162	5710	          3.62	17.15	18.52	16.87	17.25	76212.66	  0.86	农药化肥	湖北	9.57	17.76	229104	200058	  1.15	37	730	--  	335.80	          0.03	--  	--  	         11.86	        219.70亿	  7.65	   4444	     97	        0.0008	2	3.42	2.77	27.55	12.38	17.22	3	          7.04	        112.87亿	         46.72	25.30	1.50	-- -- 	6	2	12	-0.58	7.36	-2.20	2.95	7.99	0.00	9.78	20210716	19990408	         13.05	--  	--  	120.79	73.71	          2.06	37.27	69.43	28.61	7.81	30.16	30.01	15.51	4.50	--  	5.99	33.11	26.43	4.35	0.05	4.36	3.41	3.37	53.01	0.06	5.19	22156.00	         27508	50.95万	77.32	17.80	          3.33	3908.42	7.30	1.04	0.270㈠	          5.57	5.57	          0.46	          4.06	          0.00	         61.02	   4.62㈠	         20.17	         13.15	         10.29	0.09	7262	000902	--  	--  	--  	
000903	云内动力	-0.29	-0.28	26.55	         68.19亿	3.46	    12.34	-0.01	3.46	3.47	156605	1370	          0.79	3.46	3.50	3.39	3.47	5400.19	  0.71	机械基件	云南	3.17	3.45	79463	77142	  1.03	4058	3176	--  	20.62	          0.00	--  	--  	         19.71	         68.19亿	  0.00	   1744	     90	        0.0005	-1	0.58	-2.78	-7.36	1.02	-20.55	4	          1.23	         43.95亿	         64.45	30.14	0.49	-- -- 	1	14	1	-0.29	0.86	-2.31	-0.63	0.00	-1.14	2.06	20210716	19990415	         19.71	--  	--  	155.72	58.35	          0.18	62.41	93.01	31.86	10.63	84.47	16.08	20.54	26.47	--  	23.43	24.41	21.59	1.57	0.05	1.58	1.38	0.86	12.85	-4.32	-6.62	89521.00	         14189	4.91万	28.41	42.29	          1.17	-15.80	2.79	0.99	0.070㈠	          2.96	0.00	          1.19	          0.65	         -0.22	         37.47	   2.37㈠	         11.59	          6.44	          5.66	0.69	2635	000903	--  	--  	--  	
000905	厦门港务	1.45	-0.15	23.50	         39.45亿	6.31	    23.23	0.09	6.31	6.32	25974	384	          0.49	6.28	6.39	6.20	6.22	1634.51	  0.96	港口	福建	3.05	6.29	11202	14772	  0.76	449	598	--  	79.32	          0.05	--  	--  	          5.31	         33.51亿	  1.74	    615	     42	        0.0008	1	0.00	-0.78	-4.54	-6.96	-11.77	1	          1.09	         15.04亿	         38.11	29.42	0.14	-- -- 	9	4	1	0.96	2.73	-0.32	1.17	0.48	-1.25	1.77	20210716	19990429	          6.25	--  	--  	113.06	35.40	         11.10	58.88	50.06	38.55	9.86	55.21	7.64	19.46	13.10	0.00	5.06	52.99	51.40	0.73	-0.03	0.76	0.42	0.39	21.73	-3.39	2.08	46573.00	          5116	3.23万	388.88	87.96	          1.11	-11.65	0.74	0.29	0.068㈠	          5.66	0.00	          0.81	          3.48	         -0.54	         31.31	   1.20㈠	          3.00	          1.37	          0.80	0.00	4627	000905	--  	--  	--  	
000906	浙商中拓	-0.74	0.56	11.71	         72.68亿	10.78	    10.78	-0.08	10.74	10.78	56959	479	          0.86	10.76	11.04	10.51	10.86	6147.48	  0.82	批发业	浙江	4.88	10.79	29677	27282	  1.09	100	197	--  	38.63	          0.01	--  	--  	          6.65	         71.67亿	 -0.45	   2827	     20	        0.0003	-3	-1.18	-6.90	-4.60	22.78	68.97	1	          1.78	         34.44亿	         47.39	13.09	0.73	-- -- 	4	10	10	-0.92	1.66	-3.22	-0.62	0.19	-2.36	2.57	20210730	19990707	          6.74	--  	--  	278.48	32.66	         13.42	83.46	259.15	4.33	3.17	229.57	39.90	81.65	52.93	--  	6.72	363.09	356.48	2.62	-0.62	2.62	1.69	1.77	15.57	-53.66	-2.70	17588.00	         18164	19.58万	63.95	133.36	          2.41	-1.35	0.20	2.78	0.240㈠	          4.47	4.47	          1.00	          2.31	         -7.96	         11.73	   5.16㈠	          1.82	          0.72	          0.46	--  	1865	000906	--  	--  	--  	
000908	景峰医药	0.66	0.22	--  	         40.56亿	4.61	    36.81	0.03	4.61	4.62	270578	2704	          3.74	4.59	4.62	4.45	4.58	12256.64	  0.83	化学制药	湖南	3.71	4.53	124405	146173	  0.85	1500	3339	--  	32.59	          0.01	--  	--  	          7.23	         33.34亿	  0.95	   3140	     86	        0.0012	2	0.22	0.00	-10.14	-30.47	1.54	17	          5.01	         24.91亿	         61.42	--  	0.64	-- -- 	13	10	2	0.22	0.87	-2.84	-1.10	0.44	-0.22	3.60	20210716	19990203	          8.80	--  	--  	26.01	4.74	          1.67	75.39	9.60	9.13	0.93	17.79	0.99	2.46	3.89	0.25	6.48	1.21	0.47	0.25	0.86	0.22	0.28	-0.62	-7.07	1.22	-0.61	64887.00	          8328	3.84万	1894.28	-60.73	          8.56	33.19	33.55	0.00	0.031㈠	          0.54	0.00	          0.74	         -0.80	          0.14	         18.21	   5.82㈠	         61.26	         20.52	         22.79	0.09	2220	000908	--  	--  	--  	
000909	数源科技	-1.66	-0.14	67.37	         29.64亿	6.53	   140.83	-0.11	6.53	6.54	19712	265	          0.51	6.66	6.66	6.49	6.64	1286.12	  0.91	综合类	浙江	2.56	6.52	12477	7235	  1.72	102	10	--  	2.06	          0.00	--  	--  	          3.87	         25.30亿	 -1.37	    691	     29	        0.0007	-2	-0.15	-0.91	-7.18	-7.96	-19.83	1	          0.80	         16.05亿	         54.17	68.86	0.32	空头排列	14	10	9	0.30	0.30	-2.26	-1.74	-1.95	-1.95	0.62	20210716	19990507	          4.54	--  	--  	43.91	18.13	          1.44	55.43	27.81	0.14	0.01	15.02	7.09	11.56	3.15	0.36	10.05	3.23	2.79	0.18	-0.04	0.19	0.05	0.03	3.55	1.62	1.80	26547.00	          9260	6.05万	22.08	172.29	          1.63	18.27	9.18	0.54	0.010㈠	          4.02	4.02	          2.22	          0.78	          0.36	         41.29	   0.29㈠	         13.67	          5.65	          1.63	0.05	553	000909	--  	--  	--  	
