代码	名称	涨幅%	涨速%	市盈(TTM)	AB股总市值	现价	市盈(动)	涨跌	买价	卖价	总量	现量	换手%	今开	最高	最低	昨收	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	开盘换手Z	封成比	封单额	流通股(亿)	流通市值	强弱度%	活跃度	笔均量	笔换手	连涨天	昨涨幅%	3日涨幅%	20日涨幅%	60日涨幅%	年初至今%	年涨停天	换手Z	流通市值Z	流通比例Z	市盈(静)	贝塔系数	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	实体涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收帐款(亿)	预收账款(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	调整后净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
002243	力合科创	-0.71	-0.11	17.23	        101.69亿	8.40	    66.09	-0.06	8.40	8.41	20029	331	          0.37	8.45	8.47	8.38	8.46	1687.20	  0.37	塑料	深圳	1.06	8.42	11323	8706	  1.30	835	50	--  	1.61	          0.00	--  	--  	          5.48	         46.07亿	 -0.42	    766	     26	        0.0005	-1	1.56	-1.52	-8.00	-7.28	-22.87	0	          0.71	         23.70亿	         23.30	17.29	0.71	空头排列	1	7	9	-0.12	0.12	-0.95	-0.43	-0.59	-0.83	0.24	20210726	20080528	         12.11	--  	--  	110.34	58.86	         11.20	36.50	50.04	12.29	2.87	16.34	21.78	19.92	6.12	0.06	20.03	4.15	2.95	0.49	0.09	0.49	0.38	0.25	24.61	-1.82	0.17	28601.00	          9864	8.29万	5.46	30.49	          1.71	-55.79	24.48	0.95	0.032㈠	          4.90	4.90	          1.65	          2.03	         -0.15	         53.35	   0.65㈠	         28.98	         11.71	          9.26	0.22	4658	002243	--  	--  	--  	
000573	粤宏远Ａ	-0.71	0.00	--  	         17.87亿	2.80	     6.96	-0.02	2.79	2.80	56566	694	          0.89	2.80	2.82	2.74	2.82	1573.21	  0.98	区域地产	广东	2.84	2.78	33042	23524	  1.40	832	133	--  	7.59	          0.01	--  	--  	          6.33	         17.71亿	 -0.42	   1093	     52	        0.0008	-1	0.36	-3.44	-8.79	-1.75	1.08	6	          1.12	         14.14亿	         79.14	--  	0.25	-- -- 	4	10	2	-0.71	0.00	-2.84	-1.38	0.00	-0.71	2.19	20210716	19940815	          6.38	--  	--  	30.91	16.39	          0.00	46.96	18.65	1.17	1.66	11.73	7.76	9.90	0.30	--  	5.41	2.80	1.88	0.78	0.33	0.78	0.64	0.64	2.31	0.51	1.10	45692.00	         11055	3.10万	1179.69	136.30	          1.09	35.07	6.39	2.14	0.101㈠	          2.57	0.00	          0.85	          0.36	          0.08	         53.04	   3.92㈠	         32.73	         27.78	         22.96	0.01	255	000573	--  	--  	--  	
000797	中国武夷	-0.71	-0.35	15.93	         43.67亿	2.78	    66.13	-0.02	2.78	2.79	45754	1186	          0.29	2.80	2.80	2.75	2.80	1269.27	  0.59	全国地产	福建	1.79	2.77	30201	15553	  1.94	6913	530	--  	0.36	          0.00	--  	--  	         15.66	         43.54亿	 -0.42	    533	     86	        0.0005	-1	0.36	-2.79	-9.15	-6.08	-10.61	1	          0.64	         19.86亿	         45.46	15.24	0.05	空头排列	1	10	9	0.00	0.00	-1.79	-0.92	-0.71	-0.71	1.09	20210716	19970715	         15.71	--  	--  	241.26	53.75	          5.53	75.43	223.54	6.74	1.42	138.69	31.61	152.15	12.12	0.08	22.35	8.04	6.29	0.47	0.41	0.48	0.17	0.16	13.43	1.44	0.47	28799.00	         24800	6.89万	-42.76	61.28	          0.81	30.38	5.43	2.16	0.010㈠	          3.42	0.00	          1.42	          0.85	          0.09	         22.28	   0.31㈠	         21.70	          5.83	          2.05	--  	6017	000797	--  	--  	--  	
000061	农 产 品	-0.72	0.00	28.04	         94.18亿	5.55	    34.36	-0.04	5.55	5.56	75724	1260	          0.45	5.54	5.60	5.52	5.59	4198.74	  0.90	农业综合	深圳	1.43	5.54	42246	33478	  1.26	894	914	--  	16.34	          0.00	--  	--  	         16.97	         94.16亿	 -0.43	   1925	     39	        0.0002	-2	-0.18	1.46	1.46	-0.72	-20.60	0	          1.24	         33.91亿	         36.01	29.87	0.15	-- -- 	5	14	9	-0.89	0.18	-1.25	-0.81	0.18	-0.89	0.54	20210716	19970110	         16.97	--  	--  	206.48	54.64	         17.87	64.88	38.70	19.94	15.97	78.23	17.26	7.48	1.15	--  	27.96	8.99	6.01	1.40	0.25	1.42	0.69	0.57	6.64	1.17	3.37	69162.00	          8835	4.90万	42.72	25.59	          1.72	80.18	10.47	1.08	0.040㈠	          3.22	0.00	          1.65	          0.39	          0.07	         26.46	   1.25㈠	         33.19	         15.52	          7.62	0.02	4863	000061	--  	--  	--  	
002491	通鼎互联	-0.72	0.24	73.21	         51.52亿	4.12	--  	-0.03	4.11	4.12	283341	3833	          2.42	4.16	4.22	4.05	4.15	11713.62	  1.34	通信设备	江苏	4.10	4.13	153936	129405	  1.19	1738	1631	--  	43.97	          0.02	--  	--  	         11.71	         48.23亿	 -0.43	   2156	    131	        0.0011	-1	5.60	1.48	10.16	8.42	0.98	0	          4.15	         28.11亿	         54.56	118.19	0.28	-- -- 	8	2	13	0.24	1.69	-2.41	-0.38	-0.96	-2.37	1.73	20210716	20101021	         12.50	--  	--  	79.39	28.10	          0.55	63.91	44.35	13.34	2.78	44.24	10.60	8.37	14.31	--  	12.93	7.69	6.55	-0.27	0.15	-0.27	-0.26	-0.54	1.54	-0.99	-2.53	77790.00	          8770	3.61万	51.03	-5.41	          1.83	-52.11	6.70	0.00	-0.021㈠	          2.25	0.00	          1.03	          0.12	         -0.08	         35.40	  -0.91㈠	         14.79	         -3.54	         -3.34	0.46	2896	002491	--  	--  	--  	
000068	华控赛格	-0.73	0.00	--  	         27.48亿	2.73	--  	-0.02	2.73	2.74	91143	4240	          0.91	2.73	2.75	2.69	2.75	2482.86	  0.33	环境保护	深圳	2.18	2.72	55546	35597	  1.56	452	3693	--  	18.05	          0.01	--  	--  	         10.07	         27.48亿	 -0.44	   1304	     70	        0.0007	-1	1.10	-5.54	2.25	3.41	-16.00	4	          1.65	         15.05亿	         54.76	--  	0.20	高位回落	14	2	9	-0.73	0.00	-2.18	-0.94	0.00	-0.73	1.49	20210728	19970611	         10.07	--  	--  	36.09	3.38	          4.14	79.17	9.82	1.93	0.99	9.21	3.86	0.37	1.48	0.00	11.93	0.71	0.57	-0.26	-0.00	-0.26	-0.25	-0.25	-20.19	0.07	-0.96	43648.00	         12629	3.45万	7.22	143.18	          8.13	400.46	38.76	0.00	-0.024㈠	          0.34	0.00	          1.19	         -2.01	          0.01	          9.37	  -7.26㈠	         20.28	        -37.36	        -34.60	0.03	482	000068	--  	--  	--  	
002438	江苏神通	-0.73	0.28	21.91	         52.80亿	10.87	    19.97	-0.08	10.86	10.87	51588	576	          1.14	10.93	11.06	10.78	10.95	5626.56	  0.66	机械基件	江苏	2.56	10.91	26611	24977	  1.07	52	5	--  	21.53	          0.01	--  	--  	          4.54	         49.39亿	 -0.44	   1814	     28	        0.0006	-1	0.64	-3.81	-0.82	-14.81	-18.21	1	          1.72	         32.69亿	         61.92	24.44	0.48	-- -- 	13	13	10	-0.18	1.00	-1.55	-0.39	-0.55	-1.72	0.83	20210716	20100623	          4.86	--  	--  	35.04	22.28	--  	36.42	22.99	6.32	1.28	11.97	2.81	7.22	6.80	0.00	8.14	4.72	3.44	0.80	0.07	0.78	0.66	0.57	8.53	0.32	-0.14	17369.00	         17316	18.82万	60.79	48.72	          2.37	166.47	11.19	0.46	0.136㈠	          4.59	0.00	          1.68	          1.76	          0.07	         63.58	   2.97㈠	         27.19	         16.97	         14.00	0.12	1361	002438	--  	--  	--  	
000026	飞亚达	-0.73	0.00	12.46	         52.99亿	12.17	    11.20	-0.09	12.16	12.17	51736	381	          1.45	12.15	12.32	11.77	12.26	6221.73	  0.99	其他商业	深圳	4.49	12.03	32166	19570	  1.64	98	33	--  	19.20	          0.01	--  	--  	          3.58	         43.56亿	 -0.44	   2679	     19	        0.0005	-1	0.99	-0.32	-10.91	-24.28	10.42	5	          2.65	         23.72亿	         44.77	18.02	0.60	-- -- 	7	1	10	-0.90	0.49	-4.00	-1.91	0.16	-1.22	3.40	20210723	19930603	          4.35	          0.67	--  	44.12	29.12	          0.00	34.00	31.69	3.46	0.36	13.01	5.16	19.92	4.74	0.05	10.77	13.78	8.64	1.52	0.00	1.52	1.18	1.14	12.78	0.29	1.63	27984.00	          9357	11.39万	1011.17	134.26	          1.82	184.55	3.84	3.29	0.280㈠	          6.69	0.00	          2.47	          2.94	          0.07	         66.00	   4.06㈠	         37.32	         11.02	          8.58	0.13	4901	000026	--  	--  	--  	
000906	浙商中拓	-0.74	0.56	11.71	         72.68亿	10.78	    10.78	-0.08	10.74	10.78	56959	479	          0.86	10.76	11.04	10.51	10.86	6147.48	  0.82	批发业	浙江	4.88	10.79	29677	27282	  1.09	100	197	--  	38.63	          0.01	--  	--  	          6.65	         71.67亿	 -0.45	   2827	     20	        0.0003	-3	-1.18	-6.90	-4.60	22.78	68.97	1	          1.78	         34.44亿	         47.39	13.09	0.73	-- -- 	4	10	10	-0.92	1.66	-3.22	-0.62	0.19	-2.36	2.57	20210730	19990707	          6.74	--  	--  	278.48	32.66	         13.42	83.46	259.15	4.33	3.17	229.57	39.90	81.65	52.93	--  	6.72	363.09	356.48	2.62	-0.62	2.62	1.69	1.77	15.57	-53.66	-2.70	17588.00	         18164	19.58万	63.95	133.36	          2.41	-1.35	0.20	2.78	0.240㈠	          4.47	4.47	          1.00	          2.31	         -7.96	         11.73	   5.16㈠	          1.82	          0.72	          0.46	--  	1865	000906	--  	--  	--  	
002168	惠程科技	-0.74	0.00	--  	         32.24亿	4.02	--  	-0.03	4.01	4.02	104280	2097	          1.32	4.03	4.08	3.94	4.05	4184.82	  0.69	互联网	深圳	3.46	4.01	60733	43547	  1.39	927	571	--  	28.25	          0.01	--  	--  	          7.93	         31.88亿	 -0.45	   1547	     67	        0.0009	-1	2.79	-2.19	-6.07	4.69	-5.41	16	          1.44	         29.05亿	         90.11	--  	0.00	空头排列	10	1	11	-0.49	0.74	-2.72	-0.91	-0.25	-1.47	2.03	20210719	20070919	          8.02	--  	--  	18.80	7.95	          1.28	50.89	9.38	1.58	0.12	5.06	3.47	0.33	0.92	0.00	2.58	0.74	0.27	-0.38	0.00	-0.37	-0.33	-0.34	-2.20	2.78	2.53	57872.00	         12486	5.02万	-220.07	-77.89	          4.05	11.61	43.59	0.00	-0.040㈠	          0.99	0.00	          0.32	         -0.27	          0.35	         42.31	  -4.18㈠	         63.03	        -51.47	        -44.96	0.10	639	002168	--  	--  	--  	
